-354.1731028	-33.72978433	-350.7538876	-612.060026	128.1618123	-120.5552219	-325.4551645	291.6055239	-392.9105785	-60.14157742	263.6844614	-356.2074739
-355.4896152	-32.88011885	-355.2613173	-614.4687823	127.8710198	-122.1450984	-326.4004515	296.72933	-404.5369152	-50.06145031	270.8211107	-366.7946942
-356.7732532	-32.05812957	-359.6650171	-616.826361	127.5826439	-123.7556806	-327.2770117	301.6870286	-415.7742977	-40.05424456	277.6433273	-376.4216607
-358.0250838	-31.26271905	-363.9679887	-619.1342468	127.2966706	-125.385681	-328.0898886	306.4865986	-426.6404232	-30.12878132	284.1728394	-385.1569664
-359.2461316	-30.49284065	-368.1731331	-621.3938712	127.0130842	-127.0338638	-328.8437461	311.135518	-437.1520799	-20.2923462	290.4294963	-393.0639993
-360.4373813	-29.74749586	-372.2832542	-623.6066145	126.7318676	-128.6990432	-329.5428994	315.6408017	-447.3251933	-10.55089718	296.4314566	-400.2013427
-361.5997792	-29.02573177	-376.3010623	-625.7738081	126.4530027	-130.3800815	-330.1913422	320.0090357	-457.1748708	-0.909245021	302.1953571	-406.6231486
-362.7342348	-28.32663873	-380.2291778	-627.8967366	126.1764701	-132.0758873	-330.7927722	324.2464093	-466.7154447	8.628790006	307.7364612	-412.3794866
-363.8416228	-27.64934812	-384.0701339	-629.9766394	125.9022497	-133.7854136	-331.3506144	328.3587435	-475.9605129	18.06024193	313.068792	-417.5166661
-364.9227844	-26.99303026	-387.8263802	-632.0147128	125.6303206	-135.5076564	-331.8680422	332.3515179	-484.9229782	27.38288075	318.2052507	-422.077535
-365.9785289	-26.3568924	-391.5002854	-634.0121117	125.3606614	-137.2416529	-332.3479972	336.2298949	-493.6150856	36.59510962	323.1577218	-426.1017556
-367.0096351	-25.74017687	-395.0941406	-635.9699513	125.0932498	-138.9864796	-332.7932065	339.9987423	-502.0484575	45.69587533	327.9371675	-429.6260577
-368.0168527	-25.14215933	-398.6101616	-637.8893084	124.8280636	-140.7412515	-333.2061997	343.6626533	-510.2341276	54.68459062	332.5537123	-432.684473
-369.0009036	-24.56214708	-402.0504923	-639.7712235	124.5650798	-142.5051199	-333.5893237	347.2259661	-518.1825729	63.56106652	337.0167182	-435.3085488
-369.9624829	-23.99947748	-405.4172067	-641.6167018	124.3042752	-144.2772716	-333.9447562	350.6927805	-525.9037436	72.32545352	341.3348531	-437.5275459
-370.9022602	-23.45351652	-408.7123116	-643.4267146	124.0456267	-146.056927	-334.2745191	354.0669748	-533.4070922	80.97819049	345.5161512	-439.3686187
-370.9022602	-23.45351652	-408.7123116	-643.4267146	124.0456267	-146.056927	-334.2745191	354.0669748	-533.4070922	80.97819049	345.5161512	-439.3686187
-369.9624829	-23.99947748	-405.4172067	-641.6167018	124.3042752	-144.2772716	-333.9447562	350.6927805	-525.9037436	72.32545352	341.3348531	-437.5275459
-369.0009036	-24.56214708	-402.0504923	-639.7712235	124.5650798	-142.5051199	-333.5893237	347.2259661	-518.1825729	63.56106652	337.0167182	-435.3085488
-368.0168527	-25.14215933	-398.6101616	-637.8893084	124.8280636	-140.7412515	-333.2061997	343.6626533	-510.2341276	54.68459062	332.5537123	-432.684473
-367.0096351	-25.74017687	-395.0941406	-635.9699513	125.0932498	-138.9864796	-332.7932065	339.9987423	-502.0484575	45.69587533	327.9371675	-429.6260577
-365.9785289	-26.3568924	-391.5002854	-634.0121117	125.3606614	-137.2416529	-332.3479972	336.2298949	-493.6150856	36.59510962	323.1577218	-426.1017556
-364.9227844	-26.99303026	-387.8263802	-632.0147128	125.6303206	-135.5076564	-331.8680422	332.3515179	-484.9229782	27.38288075	318.2052507	-422.077535
-363.8416228	-27.64934812	-384.0701339	-629.9766394	125.9022497	-133.7854136	-331.3506144	328.3587435	-475.9605129	18.06024193	313.068792	-417.5166661
-362.7342348	-28.32663873	-380.2291778	-627.8967366	126.1764701	-132.0758873	-330.7927722	324.2464093	-466.7154447	8.628790006	307.7364612	-412.3794866
-361.5997792	-29.02573177	-376.3010623	-625.7738081	126.4530027	-130.3800815	-330.1913422	320.0090357	-457.1748708	-0.909245021	302.1953571	-406.6231486
-360.4373813	-29.74749586	-372.2832542	-623.6066145	126.7318676	-128.6990432	-329.5428994	315.6408017	-447.3251933	-10.55089718	296.4314566	-400.2013427
-359.2461316	-30.49284065	-368.1731331	-621.3938712	127.0130842	-127.0338638	-328.8437461	311.135518	-437.1520799	-20.2923462	290.4294963	-393.0639993
-358.0250838	-31.26271905	-363.9679887	-619.1342468	127.2966706	-125.385681	-328.0898886	306.4865986	-426.6404232	-30.12878132	284.1728394	-385.1569664
-356.7732532	-32.05812957	-359.6650171	-616.826361	127.5826439	-123.7556806	-327.2770117	301.6870286	-415.7742977	-40.05424456	277.6433273	-376.4216607
-355.4896152	-32.88011885	-355.2613173	-614.4687823	127.8710198	-122.1450984	-326.4004515	296.72933	-404.5369152	-50.06145031	270.8211107	-366.7946942
-354.1731028	-33.72978433	-350.7538876	-612.060026	128.1618123	-120.5552219	-325.4551645	291.6055239	-392.9105785	-60.14157742	263.6844614	-356.2074739
-352.8226046	-34.60827703	-346.1396219	-609.5985518	128.455034	-118.9873927	-324.4356949	286.3070889	-380.8766336	-70.28402975	256.2095585	-344.5857757
-351.4369631	-35.51680462	-341.4153057	-607.0827614	128.750695	-117.4430084	-323.336138	280.8249159	-368.4154203	-80.47616008	248.3702475	-331.8492951
-350.0149721	-36.45663453	-336.5776124	-604.510996	129.0488036	-115.9235245	-322.1501006	275.1492584	-355.5062215	-90.70295182	240.1377678	-317.9111754
