0	16438940	17361440
1	16434927	17358490
2	16435917	17308655
3	16436050	17355449
4	16444425	17332106
5	16439538	17331709
6	16442290	17296501
7	16437730	17339243
8	16433736	17347698
9	16432586	17310789
10	16432738	17330367
11	16432073	17302932
12	16429058	17334453
13	16425426	17283804
14	16424251	17303263
15	16421057	17296200
16	16422630	17302498
17	16420090	17304934
18	16421215	17313228
19	16420216	17280337
20	16418633	17301454
21	16418741	17314780
22	16414763	17265052
23	16419626	17289413
24	16423192	17269708
25	16418902	17322918
26	16421622	17314171
27	16415092	17285350
28	16419631	17295087
29	16420373	17297250
30	16423743	17278075
31	16422572	17326157
32	16415794	17272661
33	16414313	17242429
34	16409101	17283192
35	16411653	17243316
36	16407976	17279120
37	16410176	17242008
38	16402532	17283359
39	16395987	17267328
40	16393676	17264181
41	16397072	17242979
42	16384641	17264792
43	16383338	17275300
44	16381867	17248328
45	16382376	17235487
46	16377946	17254275
47	16370466	17212081
48	16369743	17230779
49	16373858	17233957
50	16363889	17202593
51	16369764	17183407
52	16369708	17197725
53	16374628	17170957
54	16369167	17200163
55	16372118	17233445
56	16373201	17175080
57	16370366	17183503
58	16364776	17146190
59	16369372	17170877
60	16368792	17200196
61	16367984	17149841
62	16359727	17160822
63	16363292	17129393
64	16357519	17159772
65	16350864	17149349
66	16348997	17179548
67	16349543	17131124
68	16339040	17164023
69	16333447	17127138
70	16333656	17139199
71	16333416	17126761
72	16328284	17113403
73	16320218	17129995
74	16321923	17084192
75	16317093	17100787
76	16321972	17070471
77	16321852	17082696
78	16321477	17091000
79	16311498	17074493
80	16319190	17031500
81	16322121	17026708
82	16314748	17017776
83	16321911	17013451
84	16317357	17019814
85	16317981	16996681
86	16314607	17003122
87	16308223	16978556
88	16306555	16923720
89	16303685	16932514
90	16299611	16917464
91	16297898	16925188
92	16288917	16903381
93	16291373	16886384
94	16280874	16841462
95	16277693	16895352
96	16277877	16838436
97	16269677	16850000
98	16270545	16814163
99	16268472	16788933
100	16271554	16713847
101	16273614	16740516
102	16264609	16686037
103	16270532	16631280
104	16271611	16595017
105	16268657	16573627
106	16273988	16551131
107	16273594	16540094
108	16274291	16518140
109	16272463	16495959
110	16260808	16446352
111	16263656	16410868
112	16259120	16349312
113	16257933	16334906
114	16253461	16278469
115	16246252	16212527
116	16239831	16141439
117	16232375	16113963
118	16235283	16029595
119	16233225	15951967
120	16231221	15949360
121	16228289	15865390
122	16219472	15763122
123	16224146	15687266
124	16226245	15592463
125	16225221	15536975
126	16230230	15447720
127	16229304	15347248
128	16225111	15294292
129	16222760	15223234
130	16223140	15148804
131	16222651	15029205
132	16221069	15015167
133	16220819	14926402
134	16215604	14817042
135	16204544	14806219
136	16198160	14748617
137	16197520	14696228
138	16186872	14669206
139	16191378	14664905
140	16178448	14627071
141	16176445	14654044
142	16171043	14682988
143	16171634	14724723
144	16176279	14754958
145	16172474	14822705
