12430691,15333340,16438940,14502073,0,0,0,0
12428660,15338397,16434927,14497991,0,0,0,0
12425955,15335514,16435917,14499112,0,0,0,0
12425973,15337840,16436050,14499265,0,0,0,0
12424821,15334403,16444425,14501550,0,0,0,0
12423175,15334969,16439538,14504285,0,0,0,0
12422098,15331481,16442290,14494725,0,0,0,0
12424600,15335591,16437730,14497748,0,0,0,0
12423575,15333776,16433736,14493642,0,0,0,0
12421546,15332384,16432586,14495921,0,0,0,0
12416032,15331723,16432738,14494751,0,0,0,0
12412338,15326615,16432073,14491785,0,0,0,0
12414864,15329473,16429058,14490277,0,0,0,0
12413244,15333094,16425426,14484388,0,0,0,0
12408880,15329082,16424251,14488469,0,0,0,0
12412311,15329388,16421057,14485638,0,0,0,0
12411149,15329255,16422630,14483780,0,0,0,0
12410618,15322903,16420090,14483551,0,0,0,0
12403416,15319936,16421215,14482824,0,0,0,0
12402563,15322045,16420216,14482993,0,0,0,0
12407507,15317805,16418633,14477071,0,0,0,0
12407978,15321061,16418741,14478125,0,0,0,0
12407573,15317333,16414763,14481570,0,0,0,0
12401254,15316426,16419626,14480034,0,0,0,0
12397332,15314468,16423192,14474411,0,0,0,0
12398866,15314290,16418902,14474555,0,0,0,0
12395851,15314852,16421622,14470311,0,0,0,0
12397222,15309560,16415092,14476298,0,0,0,0
12395236,15311100,16419631,14470143,0,0,0,0
12392019,15315678,16420373,14471579,0,0,0,0
12394788,15315269,16423743,14466505,0,0,0,0
12395324,15303422,16422572,14466993,0,0,0,0
12400685,15307178,16415794,14460592,0,0,0,0
12394944,15307123,16414313,14462436,0,0,0,0
12390608,15309965,16409101,14459733,0,0,0,0
12393204,15302717,16411653,14462779,0,0,0,0
12391137,15304271,16407976,14459341,0,0,0,0
12384652,15301976,16410176,14460452,0,0,0,0
12385113,15305229,16402532,14454669,0,0,0,0
12386108,15297197,16395987,14460325,0,0,0,0
12383486,15297989,16393676,14447853,0,0,0,0
12383427,15306804,16397072,14449351,0,0,0,0
12378370,15290913,16384641,14450414,0,0,0,0
12376775,15296625,16383338,14454015,0,0,0,0
12372590,15293129,16381867,14445670,0,0,0,0
12372874,15292019,16382376,14437340,0,0,0,0
12371165,15295913,16377946,14444737,0,0,0,0
12374418,15295069,16370466,14446301,0,0,0,0
12370590,15291972,16369743,14440826,0,0,0,0
12368166,15295065,16373858,14438549,0,0,0,0
12366568,15285839,16363889,14435435,0,0,0,0
12366884,15284975,16369764,14435780,0,0,0,0
12363148,15283991,16369708,14434012,0,0,0,0
