Time,Conc.1,Conc.2,Conc.3,Conc.4,BF1,BF2,BF3,BF4,TS,MTH Conc.1,MTH Conc.2,MTH Conc.3,MTH Conc.4,MTH BF1,MTH BF2,MTH BF3,MTH BF4,MTH TS,Averaged Signal,QCL Voltage,Device Temp.,Board Temp.,Peltier Temp.,Peltier Current,Peltier Voltage,Cell Temp.,TCS Temp.,Air Press.,Cell Press.,Preamp Temp,Averaged Zero,Temp. Shift,Residual,Setting Param.,Ite.Nm2 Conc.1,Ite.Nm3 Conc.1
1.7,1.13494,-1041.239258,1572.695557,-144152.953125,1,1,1,1,-0.005762,0,0,0,0,0,0,0,0,0,1.728316E+7,9.60711,33.649395,36.219391,42.076817,0.208339,0.261006,69.970703,31.271484,100.671646,25.998337,30.523695,3063251,0.143798,0.067012,0,2125.522705,2125.522705
1.8,1.135888,-584.254517,1446.262207,-135669.40625,1,1,1,1,-0.004421,0,0,0,0,0,0,0,0,0,1.728207E+7,9.618939,33.663227,36.215839,42.115593,0.208205,0.261769,69.970703,31.271484,100.671646,26.003296,30.526197,3062449,0.143798,0.084042,0,1973.817139,1973.817139
1.9,1.18585,-784.081665,1477.098877,-131747.828125,1,1,1,1,0.001513,0,0,0,0,0,0,0,0,0,1.728698E+7,9.610209,33.663227,36.222942,42.064316,0.208339,0.261921,69.970703,31.271484,100.671646,25.990803,30.526197,3061142,0.143798,0.092872,0,2413.38623,2413.38623
2,1.098048,-1189.223633,1561.207153,-144954.484375,1,1,1,1,-0.001175,0,0,0,0,0,0,0,0,0,1.727328E+7,9.616405,33.661499,36.222942,42.086823,0.208339,0.2607,69.970703,31.271484,100.671646,25.99538,30.531704,3060070,0.143798,0.080885,0,3351.665283,3351.665283
2.1,1.256584,-999.859985,1534.575562,-133442.390625,1,1,1,1,-0.002472,0,0,0,0,0,0,0,0,0,1.728089E+7,9.61218,33.656311,36.222942,42.073067,0.207804,0.261158,69.970703,31.271484,100.671646,25.99538,30.526699,3059768,0.143798,0.058432,0,2227.70166,2227.70166
2.2,1.153587,-992.993896,1470.576538,-145375.0625,1,1,1,1,-0.001953,0,0,0,0,0,0,0,0,0,1.726957E+7,9.613588,33.663227,36.222942,42.130608,0.208071,0.261769,69.970703,31.271484,100.671646,26.00053,30.526699,3062819,0.143798,0.075418,0,3084.710205,3084.710205
2.3,1.167368,-1111.57019,1479.952881,-139571.0625,1,0.981049,1,1,-0.004773,0,0,0,0,0,0,0,0,0,1.727105E+7,9.607674,33.664959,36.228271,42.075569,0.208339,0.260853,69.970703,31.271484,100.671646,26.000721,30.523863,3062942,0.143798,0.094886,0,3799.027344,3799.027344
2.4,1.096897,-674.045166,1462.045288,-145091.6875,1,0.981049,1,1,-0.005813,0,0,0,0,0,0,0,0,0,1.727246E+7,9.614433,33.652855,36.221169,42.094326,0.207938,0.261769,69.970703,31.271484,100.671646,26.000721,30.523863,3064528,0.143798,0.073306,0,2296.904785,2296.904785
2.5,1.041101,-708.102478,1501.977783,-122496.4375,1,0.981049,1,1,-0.00742,0,0,0,0,0,0,0,0,0,1.727176E+7,9.611335,33.656311,36.221169,42.150631,0.20767,0.260853,69.970703,31.271484,100.671646,26.008827,30.525864,3065795,0.143798,0.067657,0,1777.072266,1777.072266
2.6,0.991368,-409.853485,1421.994629,-130154.148437,1,0.981049,1,1,-0.006601,0,0,0,0,0,0,0,0,0,1.728042E+7,9.61049,33.654583,36.237152,42.128105,0.208607,0.261463,69.970703,31.276367,100.671646,25.995857,30.525864,3064892,0.143798,0.044862,0,2658.061279,2658.061279
2.7,1.075709,-451.693787,1396.958374,-119914.507812,1,0.981049,1,1,-0.008716,0,0,0,0,0,0,0,0,0,1.729089E+7,9.612461,33.649395,36.231823,42.106834,0.207804,0.261921,69.970703,31.276367,100.671646,25.989563,30.525864,3062231,0.143798,0.05937,0,3264.107178,3264.107178
2.8,1.119608,-1107.869629,1563.584961,-125806.78125,1,0.981049,1,1,-0.008692,0,0,0,0,0,0,0,0,0,1.726844E+7,9.608519,33.654583,36.228271,42.138115,0.208205,0.261616,69.970703,31.276367,100.671646,25.984604,30.536963,3065831,0.143798,0.069903,0,3592.791992,3592.791992
2.9,1.110813,-995.53833,1491.376465,-159182.515625,1,0.981049,1,1,-0.006733,0,0,0,0,0,0,0,0,0,1.72712E+7,9.61049,33.654583,36.23893,42.125603,0.207938,0.261006,69.970703,31.276367,100.671646,25.993759,30.525864,3067469,0.143798,0.117998,0,3302.095215,3302.095215
3,1.078686,-732.090637,1471.094971,-139983.640625,1,0.981049,1,1,-0.006013,0,0,0,0,0,0,0,0,0,1.728367E+7,9.609926,33.658039,36.240707,42.089325,0.207402,0.260395,69.970703,31.276367,100.671646,25.99786,30.525864,3066205,0.143798,0.075711,0,2743.908203,2743.908203
3.1,1.128165,-791.317383,1466.537476,-136405.90625,1,0.981049,1,1,-0.004523,0,0,0,0,0,0,0,0,0,1.726932E+7,9.618657,33.645939,36.249588,42.121849,0.207402,0.262379,69.970703,31.276367,100.671646,26.012547,30.527283,3067560,0.143798,0.078368,0,3985.603271,3985.603271
3.2,1.026485,-974.71698,1465.650879,-141966.5625,1,0.981049,1,1,-0.001608,0,0,0,0,0,0,0,0,0,1.727926E+7,9.613588,33.673603,36.222942,42.121849,0.207804,0.2607,69.970703,31.276367,100.671646,26.000149,30.526031,3069571,0.143798,0.103851,0,2810.660156,2810.660156
3.3,1.135527,-1022.577515,1458.957275,-134775.875,1,1,1,1,-0.00033,0,0,0,0,0,0,0,0,0,1.728121E+7,9.614715,33.664959,36.237152,42.105583,0.208741,0.261616,69.970703,31.276367,100.671646,26.001484,30.526031,3066226,0.143798,0.057595,0,3581.008057,3581.008057
3.4,1.048777,-1091.386597,1508.72937,-139433.5625,1,1,1,1,0.001803,0,0,0,0,0,0,0,0,0,1.727402E+7,9.613025,33.651123,36.23893,42.068066,0.207536,0.260853,69.970703,31.276367,100.671646,26.000721,30.534124,3067223,0.143798,0.066198,0,2975.643555,2975.643555
3.5,1.156248,-585.721497,1395.754883,-143197.234375,1,1,1,1,0.003654,0,0,0,0,0,0,0,0,0,1.728025E+7,9.619502,33.664959,36.235378,42.071815,0.207536,0.261616,69.970703,31.276367,100.671646,26.000721,30.530371,3068608,0.143798,0.083752,0,3861.484131,3861.484131
3.6,1.1562,-1400.276245,1579.875366,-137857.375,1,1.000718,1,1,0.00429,0,0,0,0,0,0,0,0,0,1.72714E+7,9.611898,33.658039,36.244259,42.01432,0.208473,0.261463,69.981445,31.285156,100.669876,26.002342,30.530371,3067723,0.143798,0.086016,0,3000.786133,3000.786133
3.7,0.980006,-1006.301697,1446.929932,-156209.890625,1,1.000718,1,1,0.006984,0,0,0,0,0,0,0,0,0,1.728688E+7,9.622037,33.651123,36.230049,42.075569,0.207135,0.261769,69.981445,31.285156,100.669876,26.008255,30.526365,3066628,0.143798,0.06669,0,2245.219971,2245.219971
3.8,1.122989,-877.112549,1426.434204,-152285.5625,1,1.000718,1,1,0.006718,0,0,0,0,0,0,0,0,0,1.727846E+7,9.61218,33.656311,36.242481,42.058064,0.207938,0.260243,69.981445,31.285156,100.669876,26.008255,30.526365,3067094,0.143798,0.081256,0,2662.998047,2662.998047
3.9,1.042001,-967.854858,1521.293945,-140149.28125,1,1.000718,1,1,0.004402,0,0,0,0,0,0,0,0,0,1.727427E+7,9.61218,33.659771,36.242481,42.106834,0.20767,0.261158,69.981445,31.285156,100.669876,26.003391,30.528618,3068862,0.143798,0.058694,0,2770.623779,2770.623779
4,0.967949,-826.057739,1440.957397,-144384.28125,1,1.000718,1,1,0.005296,0,0,0,0,0,0,0,0,0,1.727056E+7,9.609364,33.654583,36.244259,42.085571,0.208071,0.260395,69.981445,31.285156,100.669876,26.00816,30.531622,3067755,0.143798,0.059065,0,2518.90625,2518.90625
4.1,1.121623,-872.135986,1403.153076,-155699.09375,1,1.000718,1,1,0.006011,0,0,0,0,0,0,0,0,0,1.728001E+7,9.623727,33.658039,36.247814,42.100582,0.208607,0.2607,69.981445,31.285156,100.669876,26.002247,30.531622,3065689,0.143798,0.083921,0,3197.852295,3197.852295
4.2,1.269524,-1176.569214,1519.741821,-136139.203125,1,1.000718,1,1,0.004612,0,0,0,0,0,0,0,0,0,1.729139E+7,9.622319,33.663227,36.246037,42.124352,0.208741,0.260548,69.981445,31.285156,100.669876,25.998241,30.519024,3067826,0.143798,0.057769,0,4129.499023,4129.499023
